Description,Scenario,AgentType,Difficulty,TimeToComplete,Strategy,Challenging,GeneralComments,Age,Gender,Occupation,ComputerUsage,DominantHand,EnglishAsFirst,ExpWithRobots,ExpWithRCCars,ExpWithFPS,ExpWithRTS,ExpWithRobotComments,InternalUserID,RosariosComments
Narrow search to only orange blocks. Find the orange block that is furthest to the opposite side of the table.,Configuration_5_v1.png,robot,4,0:00:39,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92,
Narrow search to only blue blocks. Find the blue block that is closest to the opposite end of the table. Pick it up.,Configuration_12_v2.png,robot,5,0:00:48,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92,
Narrow search to only green blocks. Look at the left side of the table. Pick up the green block that is the second-closest to the left of the table.,Configuration_6_v1.png,robot,3,0:00:51,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92,
Narrow search to only blue blocks. Find the blue block that is closest to you. Pick it up.,Configuration_11_v2.png,robot,5,0:00:26,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92,
Narrow search to only blue blocks. Look at the blue blocks closest to the left edge of the table. Pick up the blue block that is second-closest to the left edge of the table.,Configuration_2_v1.png,robot,4,0:02:10,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92,
Narrow search to only green blocks. Look at the left side of the table. Find the green block that is fourth-closest to the left side of the table. Pick it up.,Configuration_8_v2.png,robot,3,0:01:02,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92,
Narrow search to only orange blocks. Look at the right side of the table. Pick up the orange block that is second-closest to the right side of the table.,Configuration_13_v1.png,robot,4,0:00:42,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92,
reach out and grab the blue block on the right side.,Configuration_11_v2.png,human,4,0:00:29,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95,
Reach out and grab the third closest green block on your left side.,Configuration_6_v1.png,human,4,0:00:35,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95,
pick up the first green block on your right side,Configuration_9_v2.png,human,4,0:00:20,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95,
Pick up the blue block in front f the yellow block on your right,Configuration_14_v1.png,human,4,0:00:31,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95,
pick up the green block closest to you on your right.,Configuration_1_v2.png,human,3,0:00:20,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95,
Pick up the farthest orange block from you on your left.,Configuration_10_v1.png,human,,0:00:20,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95,
see thos green blocks together? Pick up the one on the left.,Configuration_8_v2.png,human,3,0:00:37,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95,
Pick up the closest green block,Configuration_3_v1.png,human,3,0:00:17,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95,
Pick up the blue block farthest from you.,Configuration_12_v2.png,human,3,0:00:24,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95,
Pick up the center blue block on your left.,Configuration_2_v1.png,human,3,0:00:20,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95,
Pick up the yellow block on the left in the second row of yellow.,Configuration_13_v2.png,human,2,0:00:36,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95,
Pick up the blue block on the left.,Configuration_7_v1.png,human,3,0:00:13,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95,
Pick up the second yellow block on your left.,Configuration_4_v2.png,human,2,0:00:22,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95,
Pick up the farthest orange block from you on your left.,Configuration_5_v1.png,human,1,0:00:21,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95,
Pick up the blue block that is closest to me.,Configuration_12_v2.png,robot,5,0:00:13,"I tried using nearby blocks. I also tried using terms such as ""nearest"" and ""farthest"" from either me or from the robot. ",The most challenging aspect was picturing how the robot would see the table form its point of view.,Very interesting HIT! I hope I did it correctly.,22,male,Mechanical Engineer,>20,Right,1,5,3,6,4,"Yes, I have seen robots before and have worked on small-time robot projects at work as well as school. ",222,
Pick up the blue block that is to my rightest.,Configuration_7_v1.png,robot,5,0:00:20,"I tried using nearby blocks. I also tried using terms such as ""nearest"" and ""farthest"" from either me or from the robot. ",The most challenging aspect was picturing how the robot would see the table form its point of view.,Very interesting HIT! I hope I did it correctly.,22,male,Mechanical Engineer,>20,Right,1,5,3,6,4,"Yes, I have seen robots before and have worked on small-time robot projects at work as well as school. ",222,
Pick up the yellow block that is northeast of my left most blue block.,Configuration_4_v2.png,robot,1,0:01:07,"I tried using nearby blocks. I also tried using terms such as ""nearest"" and ""farthest"" from either me or from the robot. ",The most challenging aspect was picturing how the robot would see the table form its point of view.,Very interesting HIT! I hope I did it correctly.,22,male,Mechanical Engineer,>20,Right,1,5,3,6,4,"Yes, I have seen robots before and have worked on small-time robot projects at work as well as school. ",222,
